name,party,office,id,gunControlDirect,gunRightsDirect,gunControlSupport,gunControlOpposed,gunRightsSupport,gunRightsOpposed,net,rank
"Lowenthal, Alan",D,H,CA47,0,0,0,0,0,0,0,280
"Vargas, Juan",D,H,CA51,0,0,0,0,0,0,0,281
"Peters, Scott",D,H,CA52,0,0,0,0,0,0,0,282
"Rochester, Lisa Blunt",D,H,DE01,0,0,0,0,0,0,0,283
"Soto, Darren",D,H,FL09,0,0,0,0,0,0,0,284
"Castor, Kathy",D,H,FL14,0,0,0,0,0,0,0,285
"Wilson, Frederica",D,H,FL24,0,0,0,0,0,0,0,286
"Lipinski, Daniel",D,H,IL03,0,0,0,0,0,0,0,287
"Garcia, Jesus",D,H,IL04,0,0,0,0,0,0,0,288
"Krishnamoorthi, Raja",D,H,IL08,0,0,0,0,0,0,0,289
"Foster, Bill",D,H,IL11,0,0,0,0,0,0,0,290
"Lynch, Stephen F",D,H,MA08,0,0,0,0,0,0,0,291
"Keating, Bill",D,H,MA09,0,0,0,0,0,0,0,292
"Ruppersberger, Dutch",D,H,MD02,0,0,0,0,0,0,0,293
"Sarbanes, John",D,H,MD03,0,0,0,0,0,0,0,294
"Brown, Anthony",D,H,MD04,0,0,0,0,0,0,0,295
"Trone, David",D,H,MD06,0,0,0,0,0,0,0,296
"Levin, Andy",D,H,MI09,0,0,0,0,0,0,0,297
"Guest, Michael Patrick",R,H,MS03,0,0,0,0,0,0,0,298
"Butterfield, G K",D,H,NC01,0,0,0,0,0,0,0,299
"Adams, Alma",D,H,NC12,0,0,0,0,0,0,0,300
"Norcross, Don",D,H,NJ01,0,0,0,0,0,0,0,301
"Sires, Albio",D,H,NJ08,0,0,0,0,0,0,0,302
"Payne, Donald M Jr",D,H,NJ10,0,0,0,0,0,0,0,303
"Coleman, Bonnie",D,H,NJ12,0,0,0,0,0,0,0,304
"Rice, Kathleen",D,H,NY04,0,0,0,0,0,0,0,305
"Meng, Grace",D,H,NY06,0,0,0,0,0,0,0,306
"Clarke, Yvette D",D,H,NY09,0,0,0,0,0,0,0,307
"Espaillat, Adriano",D,H,NY13,0,0,0,0,0,0,0,308
"Maloney, Sean Patrick",D,H,NY18,0,0,0,0,0,0,0,309
"Morelle, Joseph D",D,H,NY25,0,0,0,0,0,0,0,310
"Fudge, Marcia L",D,H,OH11,0,0,0,0,0,0,0,311
"Evans, Dwight",D,H,PA03,0,0,0,0,0,0,0,312
"Green, Al",D,H,TX09,0,0,0,0,0,0,0,313
"Veasey, Marc",D,H,TX33,0,0,0,0,0,0,0,314
"Kilmer, Derek",D,H,WA06,0,0,0,0,0,0,0,315
"Heck, Dennis",D,H,WA10,0,0,0,0,0,0,0,316
"Pocan, Mark",D,H,WI02,0,0,0,0,0,0,0,317
"Moore, Gwen",D,H,WI04,0,0,0,0,0,0,0,318
"Casten, Sean",D,H,IL06,5,0,0,0,0,0,-5,319
"Harris, Kamala",D,S,CAS1,15,0,0,0,0,0,-15,320
